finca_id,pool_detected,state,confidence,area_px,bbox
finca_00001,1,green,0.100,10915,"(64, 272, 147, 486)"
finca_00002,1,green,0.100,33577,"(967, 251, 1216, 426)"
finca_00003,1,green,0.100,15336,"(1134, 909, 1216, 1169)"
finca_00004,1,green,0.100,2574,"(348, 672, 404, 738)"
finca_00005,1,green,0.100,53435,"(513, 149, 856, 424)"
finca_00006,1,green,0.100,35665,"(343, 708, 574, 1015)"
finca_00007,1,green,0.100,17716,"(703, 1036, 853, 1216)"
finca_00008,1,green,0.100,16498,"(857, 64, 1096, 170)"
finca_00009,1,green,0.100,72816,"(640, 710, 1020, 1053)"
finca_00010,1,green,0.100,9058,"(1002, 1140, 1162, 1216)"
finca_00011,1,green,0.100,11623,"(64, 1113, 269, 1216)"
finca_00012,1,green,0.100,7060,"(550, 223, 670, 304)"
finca_00013,1,green,0.100,7075,"(201, 154, 321, 237)"
finca_00014,1,green,0.100,2601,"(793, 911, 856, 964)"
finca_00015,0,unknown,0.000,0,
finca_00016,1,green,0.100,38681,"(978, 734, 1216, 1039)"
finca_00017,1,green,0.100,336863,"(64, 64, 1216, 550)"
finca_00018,1,green,0.100,232938,"(218, 640, 880, 1216)"
finca_00019,1,green,0.100,671112,"(64, 64, 1216, 1216)"
finca_00020,1,green,0.100,36373,"(64, 64, 258, 330)"
finca_00021,1,green,0.100,15929,"(64, 1100, 256, 1216)"
finca_00022,1,green,0.100,132009,"(939, 277, 1216, 1048)"
finca_00023,1,green,0.100,62192,"(140, 1045, 680, 1216)"
finca_00024,1,green,0.100,88113,"(64, 64, 413, 500)"
finca_00025,1,green,0.100,10267,"(911, 600, 1016, 735)"
finca_00026,1,green,0.100,186541,"(165, 785, 817, 1216)"
finca_00027,1,green,0.100,10345,"(866, 630, 1014, 739)"
finca_00028,1,green,0.100,10123,"(1134, 64, 1216, 249)"
finca_00029,1,green,0.100,34907,"(64, 1080, 442, 1216)"
finca_00030,1,green,0.100,5254,"(103, 176, 216, 243)"
